24	33	34	4	24	20	43	22	34	29	38	25	35	12	26	39	9	26	16	17	0	34	23	54	17	43	48	32	38	58	126	25	32	31	10	37	47	33	34	31	40	35	20	32	31	18	38	25	37	43	  
31	29	17	25	24	3	34	32	17	20	29	8	1	22	24	35	19	33	26	24	35	0	6	45	27	28	34	39	42	43	126	16	23	14	20	38	38	44	21	41	38	42	19	28	22	25	49	23	41	44	  
25	37	11	19	18	21	28	26	11	42	25	2	24	16	18	29	13	27	20	18	29	23	0	39	21	22	28	33	36	37	126	10	17	8	14	32	50	48	15	35	32	36	21	24	34	19	43	17	35	40	  
36	27	32	39	24	18	28	13	32	18	27	23	26	3	38	29	34	31	32	31	35	25	21	0	8	43	49	46	12	40	126	16	23	29	26	48	36	42	28	43	38	49	29	26	20	32	28	38	11	17	  
34	41	39	38	16	25	26	30	39	52	39	30	33	20	46	27	32	28	24	32	38	32	28	37	25	50	56	42	46	65	126	8	15	36	18	45	63	50	42	39	30	50	21	22	32	28	47	45	45	38	  
38	32	35	43	32	21	42	48	35	49	23	26	37	39	42	43	37	27	42	31	40	36	24	40	36	0	52	46	43	15	126	24	31	32	38	44	62	66	33	47	46	29	34	22	16	32	59	41	42	21	  
15	36	21	23	26	7	25	36	21	42	28	12	23	26	28	26	23	17	19	8	19	25	10	47	31	32	0	23	46	47	126	20	25	18	24	4	22	49	5	34	31	26	11	34	42	9	53	27	45	50	  
31	31	17	25	24	5	34	23	17	22	31	8	3	13	24	35	19	33	17	24	35	2	6	45	18	28	34	0	39	43	126	16	23	14	11	38	40	46	21	32	8	42	21	30	24	25	40	23	38	44	  
26	15	27	27	24	13	34	18	27	6	15	18	34	27	27	35	29	19	30	19	23	36	16	28	28	38	44	34	0	28	126	16	23	24	25	36	24	30	16	31	38	37	22	14	8	20	16	26	34	30	  
23	17	20	28	17	6	27	33	20	34	8	11	33	24	27	28	22	12	27	16	25	32	9	25	21	31	37	31	28	23	126	9	16	17	23	29	47	51	18	44	31	34	19	7	1	17	44	26	27	23	  
32	21	42	25	43	28	42	43	24	50	45	33	40	33	47	43	30	34	36	25	21	42	31	64	38	46	59	40	59	61	0	41	42	32	31	57	68	54	22	19	48	43	28	53	52	26	59	46	58	64	  
26	40	31	33	8	17	18	24	31	44	31	22	25	27	38	19	24	20	19	24	30	24	20	29	32	42	48	34	41	57	126	0	7	28	25	40	58	42	35	43	22	42	13	14	24	20	47	37	40	30	  
39	33	33	26	1	19	43	17	33	37	24	24	18	24	40	34	35	28	12	32	41	17	22	22	29	44	44	47	34	59	126	25	0	30	22	33	51	55	34	43	47	50	35	23	17	33	50	39	33	39	  
35	41	40	43	26	30	27	41	3	39	17	31	43	31	15	28	33	27	37	31	39	42	33	47	36	14	57	46	33	29	126	18	25	0	34	58	57	51	42	52	40	43	26	21	30	32	49	14	32	35	  
34	23	31	20	23	17	33	12	31	34	43	22	25	2	37	29	33	35	6	27	31	24	20	44	7	42	38	42	28	56	126	15	22	28	0	27	45	49	24	21	37	45	28	29	36	28	29	37	27	33	  
26	32	17	25	24	3	34	32	17	48	31	8	30	22	24	35	19	28	26	19	30	29	6	45	27	28	11	34	42	43	126	16	23	14	20	0	18	54	16	30	38	37	21	30	40	20	49	23	41	46	  
48	49	44	46	26	30	40	38	44	47	53	35	28	28	51	41	46	42	32	46	52	42	33	51	14	55	61	56	54	70	126	22	29	41	26	53	0	64	48	47	44	64	35	36	46	42	55	50	53	52	  
14	3	24	15	22	10	24	7	13	40	26	15	22	23	29	24	20	8	18	7	11	24	13	43	6	28	41	22	46	43	126	14	21	14	21	39	57	0	4	1	30	25	10	2	19	8	5	28	45	18	  
